jour,metrique,valeur
1,interventions opposition,1
1,interventions présidence,1
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,3
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,2
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,1
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,1
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,1
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,0
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,1
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,24
1,interventions secrétaire,4
1,interventions fonctionnaire,0
1,interventions ministre,2
1,interventions gouvernement,1
1,interventions opposition,7
1,interventions présidence,10
1,interventions PLQ,7
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,2
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,1
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,4
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,2
1,interventions présidence,2
1,interventions PLQ,2
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,1
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,1
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,1
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,32
1,interventions secrétaire,4
1,interventions fonctionnaire,0
1,interventions ministre,7
1,interventions gouvernement,1
1,interventions opposition,7
1,interventions présidence,13
1,interventions PLQ,7
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,7
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,3
1,interventions gouvernement,0
1,interventions opposition,2
1,interventions présidence,2
1,interventions PLQ,2
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,38
1,interventions secrétaire,0
1,interventions fonctionnaire,3
1,interventions ministre,15
1,interventions gouvernement,0
1,interventions opposition,13
1,interventions présidence,7
1,interventions PLQ,13
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,11
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,4
1,interventions gouvernement,0
1,interventions opposition,5
1,interventions présidence,2
1,interventions PLQ,4
1,interventions QS,1
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,6
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,1
1,interventions gouvernement,0
1,interventions opposition,2
1,interventions présidence,3
1,interventions PLQ,0
1,interventions QS,2
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,7
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,1
1,interventions gouvernement,0
1,interventions opposition,2
1,interventions présidence,4
1,interventions PLQ,0
1,interventions QS,2
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,9
1,interventions secrétaire,0
1,interventions fonctionnaire,1
1,interventions ministre,2
1,interventions gouvernement,0
1,interventions opposition,2
1,interventions présidence,4
1,interventions PLQ,2
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,5
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,1
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,3
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,2
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,1
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,2
1,amendements adoptés,0
1,amendements rejetés,1
1,nombre d'intervenants,19
1,interventions secrétaire,5
1,interventions fonctionnaire,0
1,interventions ministre,3
1,interventions gouvernement,1
1,interventions opposition,4
1,interventions présidence,6
1,interventions PLQ,2
1,interventions QS,2
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,1
1,amendements rejetés,0
1,nombre d'intervenants,13
1,interventions secrétaire,5
1,interventions fonctionnaire,0
1,interventions ministre,1
1,interventions gouvernement,1
1,interventions opposition,4
1,interventions présidence,2
1,interventions PLQ,3
1,interventions QS,1
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,2
1,votes par mise aux voix,1
1,amendements adoptés,1
1,amendements rejetés,0
1,nombre d'intervenants,56
1,interventions secrétaire,5
1,interventions fonctionnaire,5
1,interventions ministre,6
1,interventions gouvernement,1
1,interventions opposition,19
1,interventions présidence,20
1,interventions PLQ,11
1,interventions QS,8
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,14
1,interventions secrétaire,0
1,interventions fonctionnaire,4
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,8
1,interventions présidence,2
1,interventions PLQ,8
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,27
1,interventions secrétaire,0
1,interventions fonctionnaire,2
1,interventions ministre,9
1,interventions gouvernement,0
1,interventions opposition,9
1,interventions présidence,7
1,interventions PLQ,9
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,29
1,interventions secrétaire,0
1,interventions fonctionnaire,4
1,interventions ministre,8
1,interventions gouvernement,0
1,interventions opposition,11
1,interventions présidence,6
1,interventions PLQ,11
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,26
1,interventions secrétaire,0
1,interventions fonctionnaire,5
1,interventions ministre,8
1,interventions gouvernement,0
1,interventions opposition,12
1,interventions présidence,1
1,interventions PLQ,12
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,1
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,1
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,14
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,6
1,interventions gouvernement,0
1,interventions opposition,7
1,interventions présidence,1
1,interventions PLQ,7
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,26
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,12
1,interventions gouvernement,0
1,interventions opposition,12
1,interventions présidence,2
1,interventions PLQ,12
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,32
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,15
1,interventions gouvernement,0
1,interventions opposition,13
1,interventions présidence,4
1,interventions PLQ,13
1,interventions QS,0
1,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,0
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,0
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,4
2,interventions secrétaire,1
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,1
2,interventions présidence,2
2,interventions PLQ,1
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,22
2,interventions secrétaire,0
2,interventions fonctionnaire,4
2,interventions ministre,6
2,interventions gouvernement,0
2,interventions opposition,7
2,interventions présidence,5
2,interventions PLQ,7
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,26
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,12
2,interventions gouvernement,0
2,interventions opposition,12
2,interventions présidence,2
2,interventions PLQ,12
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,4
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,2
2,interventions gouvernement,0
2,interventions opposition,2
2,interventions présidence,0
2,interventions PLQ,2
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,5
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,2
2,interventions gouvernement,0
2,interventions opposition,1
2,interventions présidence,2
2,interventions PLQ,1
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,19
2,interventions secrétaire,0
2,interventions fonctionnaire,1
2,interventions ministre,9
2,interventions gouvernement,0
2,interventions opposition,8
2,interventions présidence,1
2,interventions PLQ,8
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,1
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,1
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,1
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,0
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,0
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,5
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,1
2,interventions gouvernement,0
2,interventions opposition,2
2,interventions présidence,2
2,interventions PLQ,2
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,30
2,interventions secrétaire,0
2,interventions fonctionnaire,1
2,interventions ministre,14
2,interventions gouvernement,0
2,interventions opposition,13
2,interventions présidence,2
2,interventions PLQ,13
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,5
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,2
2,interventions gouvernement,0
2,interventions opposition,2
2,interventions présidence,1
2,interventions PLQ,2
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,30
2,interventions secrétaire,0
2,interventions fonctionnaire,2
2,interventions ministre,15
2,interventions gouvernement,0
2,interventions opposition,10
2,interventions présidence,3
2,interventions PLQ,10
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,11
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,3
2,interventions gouvernement,0
2,interventions opposition,5
2,interventions présidence,3
2,interventions PLQ,5
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,26
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,12
2,interventions gouvernement,0
2,interventions opposition,12
2,interventions présidence,2
2,interventions PLQ,12
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,0
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,0
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,1
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,6
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,1
2,interventions gouvernement,0
2,interventions opposition,2
2,interventions présidence,3
2,interventions PLQ,2
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,0
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,0
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,4
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,2
2,interventions présidence,2
2,interventions PLQ,2
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,4
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,1
2,interventions gouvernement,0
2,interventions opposition,1
2,interventions présidence,2
2,interventions PLQ,1
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,4
2,interventions secrétaire,0
2,interventions fonctionnaire,1
2,interventions ministre,2
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,1
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,11
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,4
2,interventions gouvernement,0
2,interventions opposition,2
2,interventions présidence,5
2,interventions PLQ,2
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,0
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,0
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,1
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,11
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,5
2,interventions gouvernement,0
2,interventions opposition,4
2,interventions présidence,2
2,interventions PLQ,4
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
2,nombre d'intervenants,0
2,interventions secrétaire,0
2,interventions fonctionnaire,0
2,interventions ministre,0
2,interventions gouvernement,0
2,interventions opposition,0
2,interventions présidence,0
2,interventions PLQ,0
2,interventions QS,0
2,interventions PQ,0
2,nombre de suspensions,0
2,votes par consentement,0
2,votes par mise aux voix,0
2,amendements adoptés,0
2,amendements rejetés,0
